All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    circulatd_N
# contigs (>= 0 bp)         1          
# contigs (>= 1000 bp)      1          
# contigs (>= 5000 bp)      1          
# contigs (>= 10000 bp)     1          
# contigs (>= 25000 bp)     1          
# contigs (>= 50000 bp)     1          
Total length (>= 0 bp)      2565176    
Total length (>= 1000 bp)   2565176    
Total length (>= 5000 bp)   2565176    
Total length (>= 10000 bp)  2565176    
Total length (>= 25000 bp)  2565176    
Total length (>= 50000 bp)  2565176    
# contigs                   1          
Largest contig              2565176    
Total length                2565176    
GC (%)                      67.33      
N50                         2565176    
N90                         2565176    
auN                         2565176.0  
L50                         1          
L90                         1          
# N's per 100 kbp           0.00       
